C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
123.0 	52.2 	46.2 	0.0 	-0.4 	0.0 	188.7 	62.5 	0.0 	-7.4 	0.0 	223.5 	0.0 	-30.2 	0.0 	71.7 	0.0 	5.4 	46.8 	0.0 	46.3 	
123.0 	51.3 	46.2 	0.0 	-0.7 	0.0 	190.3 	61.7 	0.0 	-6.8 	0.0 	223.8 	0.0 	-30.3 	0.0 	71.8 	0.0 	5.4 	46.5 	0.0 	46.2 	
122.8 	51.2 	45.6 	0.0 	-1.0 	0.0 	189.3 	62.3 	0.0 	-7.1 	0.0 	223.5 	0.0 	-30.3 	0.0 	71.7 	0.0 	5.4 	46.8 	0.0 	46.3 	
122.7 	51.7 	45.9 	0.0 	-0.7 	0.0 	189.5 	62.8 	0.0 	-6.7 	0.0 	224.0 	0.0 	-29.8 	0.0 	71.5 	0.0 	5.4 	46.8 	0.0 	46.3 	
123.0 	53.3 	45.4 	0.0 	-0.8 	0.0 	189.0 	61.8 	0.0 	-7.4 	0.0 	222.0 	0.0 	-30.3 	0.0 	71.7 	0.0 	5.5 	46.7 	0.0 	46.2 	
123.4 	51.9 	45.7 	0.0 	-0.6 	0.0 	188.9 	62.9 	0.0 	-6.5 	0.0 	222.7 	0.0 	-29.9 	0.0 	71.5 	0.0 	5.3 	46.7 	0.0 	45.9 	
123.1 	51.5 	46.1 	0.0 	-0.9 	0.0 	189.2 	62.1 	0.0 	-6.7 	0.0 	221.7 	0.0 	-30.0 	0.0 	71.4 	0.0 	5.7 	46.7 	0.0 	46.4 	
123.1 	51.8 	46.3 	0.0 	-0.5 	0.0 	189.2 	62.6 	0.0 	-6.9 	0.0 	223.4 	0.0 	-30.1 	0.0 	71.6 	0.0 	5.3 	46.6 	0.0 	45.9 	
123.3 	52.2 	45.9 	0.0 	-0.6 	0.0 	189.0 	62.6 	0.0 	-6.5 	0.0 	223.4 	0.0 	-29.8 	0.0 	71.4 	0.0 	5.6 	46.9 	0.0 	46.1 	
122.0 	51.6 	46.5 	0.0 	-0.6 	0.0 	188.9 	61.9 	0.0 	-6.8 	0.0 	222.9 	0.0 	-30.2 	0.0 	71.3 	0.0 	5.6 	46.7 	0.0 	46.0 	
122.7 	51.1 	45.8 	0.0 	-0.7 	0.0 	188.3 	61.8 	0.0 	-7.0 	0.0 	223.1 	0.0 	-30.1 	0.0 	71.5 	0.0 	5.5 	46.7 	0.0 	46.4 	
122.7 	50.7 	45.3 	0.0 	-0.8 	0.0 	188.0 	61.7 	0.0 	-7.6 	0.0 	222.8 	0.0 	-30.1 	0.0 	71.9 	0.0 	5.2 	46.8 	0.0 	46.3 	
122.9 	51.3 	45.8 	0.0 	-0.6 	0.0 	189.1 	62.8 	0.0 	-7.3 	0.0 	222.6 	0.0 	-30.0 	0.0 	71.4 	0.0 	5.4 	46.7 	0.0 	46.3 	
123.1 	51.4 	46.0 	0.0 	-0.4 	0.0 	189.1 	61.0 	0.0 	-7.0 	0.0 	222.9 	0.0 	-29.8 	0.0 	71.9 	0.0 	5.9 	46.8 	0.0 	46.0 	
123.0 	51.2 	45.5 	0.0 	-0.5 	0.0 	188.7 	62.3 	0.0 	-6.3 	0.0 	222.7 	0.0 	-30.1 	0.0 	71.2 	0.0 	5.3 	46.9 	0.0 	46.0 	
122.5 	51.3 	46.2 	0.0 	-0.6 	0.0 	189.4 	61.3 	0.0 	-6.9 	0.0 	222.9 	0.0 	-30.0 	0.0 	71.4 	0.0 	5.3 	46.7 	0.0 	46.1 	
