C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
94.7 	46.6 	38.1 	6.0 	-0.0 	-0.1 	188.2 	14.2 	-7.1 	-6.0 	-6.2 	169.7 	2.2 	7.3 	-9.1 	23.6 	-1.1 	-4.8 	33.4 	1.2 	35.5 	
97.7 	47.4 	38.7 	6.1 	-0.4 	-0.4 	187.8 	13.1 	-6.9 	-4.5 	-6.5 	172.3 	2.3 	8.6 	-10.0 	23.6 	-1.1 	-4.8 	33.1 	1.5 	35.6 	
96.8 	47.4 	37.1 	6.2 	-0.1 	-0.3 	195.1 	19.1 	-7.1 	-4.1 	-5.7 	172.7 	2.1 	7.1 	-10.2 	23.6 	-1.0 	-4.8 	33.3 	1.4 	35.4 	
95.5 	45.5 	38.0 	6.1 	-0.4 	-0.1 	194.1 	15.5 	-7.2 	-5.5 	-6.9 	170.2 	1.4 	6.5 	-10.2 	23.5 	-1.0 	-4.8 	33.4 	1.4 	35.5 	
95.9 	45.5 	36.5 	5.8 	-0.1 	-0.8 	188.9 	17.7 	-6.7 	-4.7 	-6.3 	169.5 	2.7 	6.7 	-9.0 	23.6 	-0.9 	-4.8 	33.1 	1.3 	35.3 	
97.5 	45.5 	37.8 	6.1 	-0.4 	-0.8 	193.7 	15.4 	-6.7 	-4.6 	-7.3 	170.7 	2.3 	7.1 	-10.0 	23.6 	-1.1 	-4.8 	32.9 	1.5 	35.6 	
96.0 	47.3 	36.6 	5.8 	-0.4 	-0.4 	187.4 	17.3 	-6.9 	-4.9 	-6.8 	172.1 	1.8 	7.6 	-9.4 	23.6 	-1.2 	-4.7 	33.1 	1.5 	35.6 	
96.8 	45.8 	37.3 	5.9 	-0.4 	-0.8 	187.5 	16.1 	-7.4 	-5.2 	-7.0 	171.5 	1.6 	6.9 	-9.6 	23.6 	-1.2 	-4.8 	33.0 	1.4 	35.7 	
95.7 	46.0 	39.3 	5.9 	-0.2 	-0.1 	190.4 	11.0 	-7.0 	-5.2 	-6.8 	172.0 	2.2 	6.7 	-9.7 	23.6 	-1.0 	-4.9 	33.1 	1.5 	35.4 	
94.9 	46.9 	39.7 	6.1 	0.5 	-0.4 	191.2 	16.1 	-6.9 	-6.1 	-6.8 	170.0 	2.3 	7.0 	-9.7 	23.6 	-1.1 	-4.8 	33.1 	1.7 	35.6 	
96.3 	48.4 	38.2 	6.0 	-0.0 	-0.5 	191.0 	15.4 	-6.8 	-5.7 	-6.7 	172.5 	2.8 	6.8 	-10.4 	23.6 	-1.0 	-4.8 	33.1 	1.5 	35.4 	
97.7 	49.3 	36.7 	6.0 	-0.3 	-0.1 	190.0 	15.1 	-7.0 	-4.8 	-6.4 	167.7 	2.2 	7.8 	-10.3 	23.5 	-1.1 	-4.7 	33.3 	1.5 	35.4 	
97.5 	46.3 	39.0 	5.8 	0.0 	-0.5 	192.8 	12.0 	-6.7 	-5.5 	-7.5 	175.9 	1.7 	6.6 	-8.9 	23.6 	-1.0 	-4.8 	33.1 	1.3 	35.3 	
95.2 	47.3 	38.9 	5.8 	-0.2 	0.1 	188.4 	15.2 	-7.6 	-4.6 	-6.7 	170.8 	2.2 	7.6 	-10.2 	23.6 	-1.1 	-4.7 	33.0 	1.4 	35.3 	
96.4 	45.2 	38.5 	5.8 	0.0 	-0.2 	187.0 	17.6 	-6.8 	-5.3 	-6.4 	171.3 	1.6 	8.1 	-9.6 	23.6 	-1.0 	-4.7 	33.3 	1.3 	35.6 	
97.8 	46.0 	38.4 	5.8 	-0.3 	-0.0 	188.5 	14.8 	-7.2 	-4.8 	-6.2 	170.5 	2.3 	7.9 	-10.2 	23.6 	-1.3 	-4.8 	33.4 	1.4 	35.4 	
95.7 	45.2 	38.9 	6.1 	-0.4 	-0.0 	189.1 	13.7 	-6.7 	-6.3 	-6.5 	168.8 	2.3 	7.5 	-10.5 	23.5 	-1.1 	-4.6 	33.1 	1.4 	35.4 	
96.0 	44.5 	38.0 	6.2 	0.2 	-0.5 	191.8 	15.3 	-6.9 	-4.8 	-6.5 	168.9 	2.3 	7.9 	-10.0 	23.7 	-1.0 	-4.8 	33.3 	1.3 	35.6 	
96.0 	45.0 	39.1 	5.7 	-0.2 	-0.4 	191.3 	13.4 	-7.4 	-4.9 	-7.4 	173.7 	2.6 	6.7 	-9.4 	23.7 	-1.1 	-4.8 	33.3 	1.4 	35.6 	
95.6 	46.0 	39.3 	5.9 	0.0 	-0.4 	185.8 	16.3 	-7.3 	-5.6 	-7.3 	169.5 	2.5 	7.4 	-10.2 	23.7 	-1.0 	-4.8 	33.1 	1.4 	35.7 	
96.0 	46.7 	39.2 	5.9 	-0.5 	-0.0 	189.4 	16.9 	-7.1 	-5.4 	-6.5 	166.8 	2.1 	6.7 	-9.8 	23.6 	-1.2 	-4.7 	33.2 	1.5 	35.6 	
96.7 	46.1 	40.0 	6.0 	-0.0 	-0.5 	187.6 	17.9 	-7.3 	-4.9 	-6.4 	170.8 	2.5 	6.2 	-9.8 	23.6 	-1.1 	-4.7 	32.9 	1.6 	35.4 	
96.7 	45.6 	38.2 	5.8 	-0.1 	-0.3 	191.7 	18.5 	-7.2 	-4.8 	-7.1 	174.2 	2.1 	7.6 	-9.6 	23.6 	-1.1 	-4.8 	33.3 	1.3 	35.8 	
